time,symbol,side,lots,price,pnl,cost
2026-06-16 13:55:00,J_IDX,OPEN_SHORT,1.0,2088.0,,
2026-06-16 13:55:00,AL_IDX,OPEN_SHORT,1.0,24280.0,,
2026-06-16 21:10:00,M_IDX,STOP_LOSS_LONG,,,-2450.0,80.2515
2026-06-16 21:10:00,TA_IDX,STOP_LOSS_SHORT,,,-2170.0,82.3018
2026-06-17 21:15:00,CF_IDX,STOP_LOSS_SHORT,,,-2400.0,59.624
2026-06-22 13:40:00,ZN_IDX,CLOSE_LONG,,,-550.0,28.711
2026-06-22 13:40:00,P_IDX,CLOSE_LONG,,,2900.0,49.436
2026-06-22 13:40:00,C_IDX,CLOSE_LONG,,,-990.0,98.3484
2026-06-22 13:40:00,J_IDX,CLOSE_SHORT,,,7750.0,80.1575
2026-06-22 13:40:00,AL_IDX,CLOSE_SHORT,,,975.0,28.61275
2026-06-22 13:40:00,AL_IDX,OPEN_LONG,1.0,24085.0,,
2026-06-22 13:40:00,SA_IDX,OPEN_LONG,9.0,1121.0,,
2026-06-22 13:40:00,LC_IDX,OPEN_LONG,1.0,156700.0,,
2026-06-22 13:40:00,SR_IDX,OPEN_SHORT,3.0,5356.0,,
2026-06-22 13:40:00,CF_IDX,OPEN_SHORT,2.0,16180.0,,
2026-06-22 13:40:00,RB_IDX,OPEN_SHORT,6.0,3120.0,,
2026-06-22 13:40:00,M_IDX,OPEN_SHORT,7.0,2923.0,,
2026-06-23 02:55:00,LC_IDX,STOP_LOSS_LONG,,,-1600.0,62.408
2026-06-24 01:00:00,AL_IDX,STOP_LOSS_LONG,,,-2575.0,28.5355
2026-06-24 02:40:00,M_IDX,STOP_LOSS_SHORT,,,-2170.0,80.339
2026-06-25 06:40:00,SA_IDX,STOP_LOSS_LONG,,,-2700.0,199.90800000000002
2026-06-30 11:00:00,SR_IDX,CLOSE_SHORT,,,2010.0,37.9335
2026-06-30 11:00:00,CF_IDX,CLOSE_SHORT,,,1950.0,59.591
2026-06-30 11:00:00,RB_IDX,CLOSE_SHORT,,,187200.0,60.0
2026-06-30 11:00:00,C_IDX,OPEN_LONG,10.0,2315.0,,
2026-06-30 11:00:00,CF_IDX,OPEN_LONG,2.0,15985.0,,
2026-06-30 11:00:00,AL_IDX,OPEN_SHORT,2.0,23015.0,,
2026-06-30 11:00:00,FG_IDX,OPEN_SHORT,11.0,981.0,,
2026-06-30 11:00:00,RU_IDX,OPEN_SHORT,1.0,16690.0,,
2026-06-30 11:00:00,P_IDX,OPEN_SHORT,2.0,9421.0,,
2026-06-30 14:25:00,C_IDX,CLOSE_LONG,,,800.0,109.292
2026-06-30 14:25:00,AL_IDX,CLOSE_SHORT,,,-550.0,56.921
2026-06-30 14:25:00,FG_IDX,CLOSE_SHORT,,,-1540.0,241.736
2026-06-30 14:25:00,RU_IDX,CLOSE_SHORT,,,-650.0,63.404
2026-06-30 14:25:00,P_IDX,CLOSE_SHORT,,,-540.0,49.448
2026-06-30 14:25:00,LC_IDX,OPEN_LONG,1.0,159860.0,,
2026-06-30 14:25:00,AG_IDX,OPEN_SHORT,1.0,14279.0,,
2026-06-30 14:25:00,TA_IDX,OPEN_SHORT,8.0,5552.0,,
2026-06-30 14:25:00,MA_IDX,OPEN_SHORT,9.0,2416.0,,
2026-06-30 14:25:00,SR_IDX,OPEN_SHORT,4.0,5300.0,,
2026-06-30 15:10:00,AG_IDX,STOP_LOSS_SHORT,,,-5100.0,25.96425
2026-07-01 10:55:00,MA_IDX,STOP_LOSS_SHORT,,,-2340.0,107.5824
2026-07-01 11:00:00,CF_IDX,CLOSE_LONG,,,2650.0,59.75
2026-07-01 11:00:00,LC_IDX,CLOSE_LONG,,,-159860.0,50.0
2026-07-01 11:00:00,TA_IDX,CLOSE_SHORT,,,222080.0,80.0
2026-07-01 11:00:00,SR_IDX,CLOSE_SHORT,,,-920.0,50.646
2026-07-01 11:00:00,C_IDX,OPEN_LONG,10.0,2311.0,,
2026-07-01 11:00:00,RU_IDX,OPEN_LONG,1.0,16960.0,,
2026-07-01 11:00:00,HC_IDX,OPEN_SHORT,7.0,3309.0,,
2026-07-01 11:00:00,Y_IDX,OPEN_SHORT,2.0,8413.0,,
2026-07-01 11:00:00,AL_IDX,OPEN_SHORT,2.0,22520.0,,
2026-07-01 11:00:00,P_IDX,OPEN_SHORT,2.0,9376.0,,
2026-07-01 14:25:00,C_IDX,CLOSE_LONG,,,2500.0,109.344
2026-07-01 14:25:00,RU_IDX,CLOSE_LONG,,,-400.0,63.536
2026-07-01 14:25:00,Y_IDX,CLOSE_SHORT,,,140.0,48.406
2026-07-01 14:25:00,P_IDX,CLOSE_SHORT,,,340.0,49.359
2026-07-01 14:25:00,LC_IDX,OPEN_LONG,1.0,165880.0,,
2026-07-01 14:25:00,J_IDX,OPEN_LONG,1.0,1903.5,,
2026-07-01 14:25:00,FG_IDX,OPEN_SHORT,12.0,984.0,,
2026-07-01 14:25:00,AG_IDX,OPEN_SHORT,1.0,14077.0,,
2026-07-01 14:40:00,LC_IDX,STOP_LOSS_LONG,,,-1800.0,63.126400000000004
2026-07-01 15:10:00,AG_IDX,STOP_LOSS_SHORT,,,-9315.0,26.0235
2026-07-01 22:30:00,AL_IDX,STOP_LOSS_SHORT,,,-2350.0,56.8265
2026-07-02 11:00:00,J_IDX,CLOSE_LONG,,,-190350.0,50.0
2026-07-02 11:00:00,HC_IDX,CLOSE_SHORT,,,1750.0,92.988
2026-07-02 11:00:00,FG_IDX,CLOSE_SHORT,,,1680.0,263.448
2026-07-02 11:00:00,C_IDX,OPEN_LONG,9.0,2307.0,,
2026-07-02 11:00:00,CF_IDX,OPEN_SHORT,2.0,16240.0,,
